0,GCU 332,
1,GCU 113,"Credit is allowed for only GCU 113, HST 113, or GCU 194, US & AZ for Aspiring Elmtry Ed"
2,GCU 351,Prerequisite(s): minimum 45 hours
3,GCU 484,
4,GCU 496,"Prerequisite(s): ENG 101, 105, or 107 with C or better; GPH 111 with C or better; GCU 102 with C or better; GIS 205 with C or better"
5,GCU 241,
6,GCU 362,Prerequisite(s): minimum 45 hours; Credit is allowed for only GCU 362 or PUP 362 or PUP 394 (Journey Stories: People & Place in Motion)
7,GCU 240,"Credit is allowed for only ASB, GCU, HST, POS, REL or SGS 240"
8,GCU 394,
9,GCU 394,
10,GCU 294,
11,GCU 294,
12,GCU 526,Prerequisite(s): degree- or nondegree-seeking graduate student; Credit is allowed for only BIO 526 or GCU 526 or SOS 526 or BIO 591 (Sust Sci: Int Btwn Hum &Env Sys) or GCU 591 (Sust Sci: Int Btwn Hum &Env Sys) or SOS 591 (Sust Sci: Int Btwn Hum &EnvSys)
13,GCU 426,
14,GCU 591,Prerequisite(s): degree- or nondegree-seeking graduate student
15,GCU 194,
16,GCU 194,
17,GCU 494,
18,GCU 494,
19,GCU 253,
20,GCU 593,
21,GCU 485,Pre-requisite: Junior standing; Credit is allowed for only GCU 485 or GPH 485 or LAP 485 or POR 485 or PUP 485 or 585
22,GCU 598,Prerequisite(s): degree- or nondegree-seeking graduate student
23,GCU 598,Prerequisite(s): degree- or nondegree-seeking graduate student
24,PAF 523,
25,PAF 584,
26,PAF 799,
27,PAF 530,
28,PAF 499,
29,PAF 795,
30,PAF 790,
31,PAF 792,
32,PAF 620,Pre-requisites: Doctoral PAF student
33,PAF 610,Pre-requisites: PhD student
34,PAF 492,Pre-requisite: Barrett Honors student
35,PAF 493,Pre-requisite: Barrett Honors student
36,PAF 566,Prerequisite(s): degree- or nondegree-seeking graduate student
37,PAF 565,Prerequisite(s): degree- or nondegree-seeking graduate student
38,PAF 350,Pre-requisite: Minimum 30 hours
39,PAF 560,Prerequisite(s): degree- or nondegree-seeking graduate student
40,PAF 410,Pre-requisites: Minimum 30 hours; Credit is allowed for only PAF 410 or URB 410
41,PAF 534,Prerequisite(s): degree- or nondegree-seeking graduate student
42,PAF 520,
43,PAF 525,
44,PAF 360,Prerequisite(s): minimum 45 hours
45,PAF 555,Prerequisite(s): degree- or nondegree-seeking graduate student
46,PAF 529,
47,PAF 548,
48,PAF 503,
49,PAF 311,Pre-requisites: Minimum 30 hours
50,PAF 552,Prerequisite(s): degree- or nondegree-seeking graduate student
51,PAF 469,Pre-requisite: Minimum 45 hours; Credit is allowed for only ABS 598 (Terrorism Defense) or PAF 469
52,PAF 574,
53,PAF 545,Prerequisite(s): Degree- or Nondegree-seeking graduate; Credit is allowed for only PAF or SOS 545
54,PAF 561,Prerequisite(s): PAF 554
55,PAF 570,Prerequisite(s): PAF 504 with C or better
56,PAF 546,
57,PAF 468,Prerequisite(s): minimum 45 hours
58,PAF 547,Prerequisite(s): degree- or nondegree-seeking graduate. Credit is allowed for only BIO 515 or GLG 547 or HSD 515 or PAF 547 or SOS 516
59,PAF 593,
60,PAF 504,Prerequisite(s): degree- or nondegree-seeking graduate student
61,PAF 301,Prerequisite(s): MAT 142 or higher
62,PAF 571,
63,PAF 507,
64,PAF 340,Pre-requisites: Minimum 30 hours
65,PAF 420,
66,PAF 201,
67,PAF 544,Prerequisite(s): degree- or nondegree-seeking graduate student
68,PAF 425,Prerequisite(s): minimum 45 hours
69,PAF 200,
70,PAF 203,Prerequisite(s): enrollment in the second year of Next Generation Service Corps or Reserve Officer Training Corps (all branches) and completion of first year in Next Generation Service Corps
71,PAF 461,Pre-requisite: minimum 45 hours. Credit is allowed for only PAF 461 or 561
72,PAF 460,
73,PAF 601,Prerequisite(s): degree- or nondegree-seeking graduate student
74,PAF 194,
75,PAF 604,Prerequisite(s): admission to a doctoral program
76,PAF 602,Prerequisite(s): admission to a doctoral program
77,PAF 421,Prerequisite(s): CPP 301 or PAF 410; PAF 311
78,PAF 501,Prerequisite(s): degree- or nondegree-seeking graduate student
79,PAF 605,Prerequisite(s): admission to doctoral program
80,PAF 609,Prerequisite(s): admission to doctoral program
81,PAF 586,Prerequisite(s): degree- or nondegree-seeking graduate student
82,PAF 471,Prerequisite(s): PAF 301 with C or better; PAF 340 with C or better
83,PAF 573,Prerequisite(s): PAF 502 with C or better
84,PAF 509,"Prerequisite(s): PAF 501, 502, 503, 504, 505, 506, 507 and 508 with C or better"
85,PAF 470,Prerequisite(s): ECN 212 or PAF 201 with C or better
86,PAF 603,Prerequisite(s): PAF 504 with C or better; doctoral major
87,PAF 585,Prerequisite(s): degree- or nondegree-seeking graduate student
88,PAF 582,Prerequisite(s): degree- or nondegree-seeking graduate student
89,PAF 506,Prerequisite(s): PAF 504 with C or better
90,PAF 508,
91,PAF 587,Prerequisite(s): degree- or nondegree-seeking graduate student
92,PAF 541,Prerequisite(s): PAF 501 with C or better
93,PAF 531,
94,PAF 540,Prerequisite(s): PAF 505 with C or better
95,PAF 424,Prerequisite(s): minimum 45 hours
96,PAF 502,Prerequisite(s): PAF 501 with C or better
97,PAF 484,
98,PAF 588,Prerequisite(s): degree- or nondegree-seeking graduate student
99,PAF 300,Prerequisite(s): minimum 45 hours; Credit is allowed for only FIS 351 or PAF 300
100,PAF 562,Prerequisite(s): degree- or nondegree-seeking graduate student; Credit is allowed for only PAF 562 or PAF 591 (Higher Education Policy)
101,PAF 521,Prerequisite(s): PAF 506
102,PAF 522,Prerequisite(s): Public Administration MPA student
103,PAF 589,Prerequisite(s): degree- or nondegree-seeking graduate student
104,PAF 590,
105,PAF 302,Prerequisite(s): Urban and Metropolitan Studies BA or BS major OR PAF 301 with C or better
106,PAF 505,Prerequisite(s): degree- or nondegree-seeking graduate student
107,PAF 400,Prerequisite(s): PAF 200 with C or better; PAF 201 with C or better; PAF 301 with C or better; PAF 302 with C or better; PAF 311 with C or better; PAF 340 with C or better; PAF 460 with C or better OR Urban and Metropolitan Studies BA or BS student
108,PAF 394,
109,PAF 494,
110,PAF 598,
111,PAF 598,
112,PAF 579,
113,PAF 691,
114,PAF 591,
115,PHS 534,
116,PHS 570,
117,PHS 505,
118,PHS 531,
119,PHS 542,
120,PHS 592,
121,PHS 590,
122,PHS 110,
123,PHS 530,
124,PHS 208,Credit is allowed for only MSE 208 or PHS 208
125,PHS 540,Prerequisite(s): degree- or nondegree-seeking graduate. Credit is allowed for only CHM 540 or PHS 540
126,PHS 560,Prerequisite(s): degree- or nondegree-seeking graduate student; Credit is allowed for only CHM 560 or PHS 560
127,PHS 556,
128,PHS 581,Prerequisite(s): degree- or nondegree-seeking graduate student; Credit is allowed for only CHM 581 or PHS 581
129,PHS 394,
130,PHS 550,Prerequisite(s): degree- or nondegree-seeking graduate student
131,PHS 598,
132,PHS 594,
133,PHS 593,
134,PHS 194,
135,PHS 115,Credit is allowed for only PHS 115 or PHS 194 (Science of Musical Instruments)
136,GLG 470,
137,GLG 495,
138,GLG 484,
139,GLG 499,
140,GLG 584,Pre-requisites: Graduate student (degree seeking or nondegree seeking)
141,GLG 590,Pre-requisites: Graduate student (degree seeking or nondegree seeking)
142,GLG 692,Pre-requisites: Graduate student (degree seeking or nondegree seeking)
143,GLG 792,Pre-requisites: Graduate student (degree seeking or nondegree seeking)
144,GLG 795,Pre-requisites: Graduate student (degree seeking or nondegree seeking)
145,GLG 595,Pre-requisites: Graduate student (degree seeking or nondegree seeking)
146,GLG 592,Pre-requisites: Graduate student (degree seeking or nondegree seeking)
147,GLG 581,Pre-requisites: Graduate student (degree seeking or nondegree seeking)
148,GLG 599,Pre-requisites: Graduate student (degree seeking or nondegree seeking)
149,GLG 799,Pre-requisites: Graduate student (degree seeking or nondegree seeking)
150,GLG 493,Pre-requisite: Barrett Honors student
151,GLG 492,Pre-requisite: Barrett Honors student
152,GLG 406,
153,GLG 404,Prerequisite(s): GLG 101 (or GLG 102) or SES 121 (or SES 122) with C or better
154,GLG 111,
155,GLG 111,
