SUB, TITLE
ABS,	Applied Biological Sciences
ACC,	Accountancy
ACO,	Applied Computing
ACT,	Actuarial Sciences
ADE,	Architectural Design and Technology Studios
AEE,	Aerospace Engineering
AEP,	Applied Ethics and the Professions
AES,	Aerospace Studies
AET,	Aeronautical Engineering Technology
AFR,	African and African American Studies
AGB,	Agribusiness
AIS,	American Indian Studies
ALA,	Architecture and Landscape Architecture
ALD,	Aging and Lifespan Development
ALT,	Alternative Energy Technologies
AME,	Arts, Media, and Engineering
AML,	Applied Mathematics for the Life & Social Sciences
AMS,	American Studies
AMT,	Aeronautical Management Technology
ANB,	Animal Behavior
ANP,	Environmental Analysis and Programming
APA,	Asian Pacific American Studies
APH,	Architectural Philosophy and History
APL,	Applied Linguistics
APM,	Applied Mathematics
ARA,	Art Auxiliary
ARB,	Arabic
ARE,	Art Education
ARP,	Architecture Professional Studies
ARS,	Art History
ART,	Art
ASB,	Anthropology (Social and Behavioral)
ASC,	Applied Science Core
ASL,	American Sign Language
ASM,	Anthropology (Science and Mathematics)
AST,	Astronomy
ASU,	ASU
ATC,	Air Traffic Control
ATE,	Architecture and Landscape Architecture
BCH,	Biochemistry
BCS,	Serbo-Croatian
BDE,	Biological Design
BIO,	Biology
BIS,	Bachelor of Interdisciplinary Studies
BLE,	Bilingual Education
BMD,	Biomedical Diagnostics
BME,	Bioengineering
BMI,	Biomedical Informatics
BMY,	Biomimicry
BUA,	Business Administration
BUS,	Business
CAP,	Counseling and Applied Psychological Science
CDE,	Child Development
CDH,	Computational Digital Humanities
CED,	Counselor Education
CEE,	Civil and Environmental Engineering
CEL,	Civic and Economic Thought and Leadership
CEN,	Computer Engineering
CHE,	Chemical Engineering
CHI,	Chinese
CHM,	Chemistry
CHS,	College of Health Solutions
CIS,	Computer Information Systems
CMN,	Communication Studies
CNE,	Construction Engineering
COE,	College of Education
COM,	Communication
CON,	Construction
CPI,	Computing & Informatics
CPP,	College of Public Programs
CPY,	Counseling Psychology
CRD,	Community Resources and Development
CRJ,	Criminology and Criminal Justice
CSE,	Computer Science and Engineering
CSM,	Community Sports Management
DAT,	Data Science
DBA,	Doctor of Business Administration
DCE,	Dance
DCI,	Curriculum and Instruction
DNP,	Doctor of Nursing Practice
DSC,	Design
DST,	Disability Studies
ECD,	Early Childhood Education
ECN,	Economics
ECS,	Early Childhood Special Education
EDA,	Education Administration and Supervision
EDP,	Educational Psychology
EDS,	Environmental Design
EDT,	Educational Technology
EDU,	Educational Studies
EED,	Elementary Education
EEE,	Electrical Engineering
EET,	Electronics Engineering Technology
EGR,	Engineering
ELL,	English as a Second Language
ELS,	Environmental Life Sciences
EMS,	Executive Sustainability Leadership
ENG,	English
ENT,	Entrepreneurship
ENV,	Environmental Science
EPA,	Education Policy Analysis
EPD,	Environmental Design and Planning
ERM,	Environmental Resource Management
ESS,	Environmental Social Science
EST,	Electronic Systems Technology
ETH,	Ethnic Studies
EVE,	Environmental Engineering
EVO,	Evolutionary Biology
EXW,	Exercise and Wellness
FAS,	Family Studies
FIN,	Finance
FIS,	Future of Innovation in Society
FMP,	Film and Media Production
FMS,	Film and Media Studies
FOR,	Forensics
FRE,	French
FSE,	Fulton School of Engineering
FSH,	Fashion
FYC,	First Year Composition
GAP,	Global Academic Preparation
GBL,	Global Launch
GCU,	Cultural Geography
GER,	German
GIS,	Geographic Information Science
GIT,	Graphic Information Technology
GLE,	Global Education
GLG,	Geological Sciences
GPE,	Global Professional English
GPH,	Physical Geography
GRA,	Graphic Design
GRD,	Graduate Education
GRK,	Ancient Greek
GSC,	Global Security
GTD,	Global Technology and Development
HCA,	Health Care Aging
HCD,	Science of Health Care Delivery
HCI,	Healthcare Innovation
HCR,	Health Care Related
HCS,	Health Care Simulator
HDA,	Herberger Institute for Design and the Arts
HEB,	Hebrew
HED,	Higher and Postsecondary Education
HEP,	Health Education & Health Promotion
HHE,	Healthcare and Healing Environments
HIM,	Health Information Management
HIN,	Hindi Studies
HON,	Honors
